be capable of ～ing,…できる
once upon a time,昔々
at any rate,とにかく
in any case,とにかく
in a while,しばらくしたら
for a while,しばらくの間
for the time being,当面の間
sooner or later,遅かれ早かれ
from ～ on,～からずっと
if any,たとえあるとしても、もしあれば
if anything,どちらかといえば
under ～ circumstances,～の状況で
under construction,建設中である
never … without ～ing,…すると必ず～する
A is to B what C is to D,AとBの関係はCとDの関係と同じだ
some A、 others B,AするものもいればBするものもいる
It is said that ～,～と言われている
They say (that) ～,～と言われている
It goes without saying that ～,～は言うまでもないことだ
It is no use ～ing,～しても無駄である
It is not until A that B,Aになって初めてBする
sent off,退場する、発送する
such as, ～など
rule out,除外する
